location,lat,lon,presmax,presmin,N
ATom-3-2017-10-14-2139,-53.82,289.94,973.00,179.00,19.00
ATom-3-2017-10-17-0958,-52.31,292.68,932.00,262.00,16.00
ATom-3-2017-10-17-1124,-47.27,305.32,982.00,262.00,18.00
ATom-3-2017-10-17-1147,-45.11,309.19,981.00,250.00,18.00
ATom-3-2017-10-17-1233,-42.15,313.99,1002.00,250.00,19.00
ATom-3-2017-10-17-1255,-39.73,317.43,1002.00,239.00,19.00
ATom-3-2017-10-17-1342,-36.30,321.98,1014.00,239.00,20.00
ATom-3-2017-10-17-1407,-33.86,324.84,1014.00,239.00,20.00
ATom-3-2017-10-17-1534,-25.89,332.26,1008.00,217.00,20.00
ATom-3-2017-10-17-1557,-23.53,334.19,1008.00,217.00,20.00
ATom-3-2017-10-17-1639,-19.96,336.95,1003.00,217.00,20.00
ATom-3-2017-10-17-1704,-17.25,338.93,1002.00,197.00,20.00
ATom-3-2017-10-17-1850,-7.87,345.38,991.00,179.00,17.00
ATom-3-2017-10-19-0836,-7.07,344.70,980.00,275.00,17.00
ATom-3-2017-10-19-0907,-4.39,343.41,998.00,276.00,18.00
ATom-3-2017-10-19-0928,-1.94,342.69,998.00,251.00,19.00
ATom-3-2017-10-19-1000,0.95,341.84,998.00,251.00,19.00
ATom-3-2017-10-19-1022,3.34,340.83,997.00,207.00,20.00
ATom-3-2017-10-19-1109,8.17,339.70,997.00,207.00,20.00
ATom-3-2017-10-19-1135,10.49,338.99,996.00,188.00,20.00
ATom-3-2017-10-19-1243,15.74,337.28,1004.00,189.00,20.00
ATom-3-2017-10-20-0919,15.52,336.27,975.00,302.00,16.00
ATom-3-2017-10-20-1017,10.30,334.40,998.00,302.00,18.00
ATom-3-2017-10-20-1038,10.13,333.92,996.00,275.00,19.00
ATom-3-2017-10-20-1137,14.42,333.65,999.00,275.00,19.00
ATom-3-2017-10-20-1202,16.07,333.74,999.00,274.00,19.00
ATom-3-2017-10-20-1300,19.36,333.88,1002.00,275.00,19.00
ATom-3-2017-10-20-1320,21.82,333.62,1002.00,252.00,19.00
ATom-3-2017-10-20-1416,27.87,333.06,1007.00,250.00,19.00
ATom-3-2017-10-20-1439,30.65,332.80,1007.00,227.00,19.00
ATom-3-2017-10-20-1515,34.14,332.51,1008.00,228.00,19.00
ATom-3-2017-10-20-1537,37.01,332.47,1007.00,192.00,20.00
ATom-3-2017-10-20-1616,38.54,332.90,1004.00,192.00,20.00
ATom-3-2017-10-23-1057,48.73,333.00,980.00,330.00,16.00
ATom-3-2017-10-23-1118,51.55,333.00,979.00,376.00,15.00
ATom-3-2017-10-23-1158,55.25,333.02,955.00,377.00,14.00
ATom-3-2017-10-23-1217,57.32,333.03,954.00,376.00,14.00
ATom-3-2017-10-23-1245,60.30,332.05,964.00,377.00,15.00
ATom-3-2017-10-23-1343,65.18,324.77,976.00,329.00,16.00
ATom-3-2017-10-23-1452,66.33,308.93,990.00,330.00,17.00
ATom-3-2017-10-23-1522,64.13,306.93,988.00,330.00,17.00
ATom-3-2017-10-23-1606,58.86,304.44,996.00,330.00,17.00
ATom-3-2017-10-23-1631,55.79,302.48,994.00,197.00,20.00
